"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>Problem: which element is not a common component of biological macromolecules?</b><br /><br />&nbsp;&nbsp;&nbsp;&nbsp;Carbon<br />&nbsp;&nbsp;&nbsp;&nbsp;Nitrogen<br />&nbsp;&nbsp;&nbsp;&nbsp;Oxygen<br />&nbsp;&nbsp;&nbsp;&nbsp;Helium<br />&nbsp;&nbsp;&nbsp;&nbsp;Hydrogen</span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>Helium</b></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>Animal/Plant Cell Structure</b><br /><br /><img src=""Selection_182.png"" /><br /><br />___ ___ ___ appears<b> &quot;pebbled&quot;</b> by electron microscopy due to the presence of numerous <b>ribosomes </b>on its surface. <b>Proteins synthesized on these ribosomes collect here for transport throughout the cell. </b></span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>rough endoplasmic reticulum</b></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>Animal/Plant Cell Stucture</b><br /><br /><img src=""Selection_183.png"" /><br /><br />___ ___ ___ plays <b>different functions depending on the specific cell type</b> including<b> lipid and steroid hormone synthesis, breakdown of lipid-soluble toxins in liver cells, and control of calcium release in muscle cell contraction.</b></span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>smooth endoplasmic reticulum</b></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>Animal/Plant Cell Structure</b><br /><br /><br /><img src=""pastexWI2wa.png"" /><br /><br /><br />A ___ is a membrane-bound sac that plays roles in i<b>ntracellular digestion and the release of cellular waste products</b>. <br /><br />They tend to be<b> larger in plant cells</b> and play several roles: storing nutrients and waste products, helping increase cell size during growth, and even acting much like lysosomes of animal cells. The plant cell ___ also <b>regulates turgor pressure in the cell</b>. <b>Water collects inside them, pressing outward against the cell wall and producing rigidity in the plant. Without sufficient water, turgor pressure drops and the plant wilts. </b></span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>vacuole</b></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>Bacteriall Cell Structure - Surface</b><br /><br /><img src=""Selection_162.png"" /><br /><br />___ ___: Composed of <b>peptidoglycan (polysaccharides + protein)</b>, <b>maintains the overall shape</b> of a bacterial cell. </span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>cell wall</b></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>Bacterial Cell Structure - Surface</b><br /><br /><br /><img src=""Selection_162.png"" /> <br /><br />___ ___: This is a <b>lipid bilayer</b></span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>plasma membrane</b></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>Bacterial Cell Structure - Appendages</b><br /><br /><img src=""pasteW4ew_w.png"" /><br /><br />___: Their purpose is <b>motility</b>.</span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; "">f<b>lagellum / flagella</b></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><img src=""paste_e_5I_.png"" /><br /><br /><b>Cell secretions</b> - e.g. hormones, neurotransmitters -<b> are packaged in ___ ___ at the Golgi apparatus</b>, which are then transported to the cell surface for release.</span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>secretory vesicles</b></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>Animal/Plant Cell Structure</b><br /><br /><img src=""pasteHl7vNI.png"" /> <img src=""pasteZb2hJT.png"" /><br /><br />They are the <b>site of protein synthesis</b>. Each one comprises two parts, <b>a large subunit and a small subunit.</b> Messenger RNA from the cell nucleus is moved systematically along it, where transfer RNA (component of the ___) adds individual amino acid molecules to the lengthening protein chain.</span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>ribosomes</b></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>Plant Cell Structure<br /></b><br /><img src=""pasteRzvpBA.png"" /><br /><br />___ are specialized organelles found in all higher plant cells. These organelles contain the plant cell's <b>chlorophyll responsible for the plant's green color and the ability to absorb energy from sunlight</b>. This energy is used to <b>convert water plus atmospheric carbon dioxide into metabolizable sugars by the biochemical process of photosynthesis</b>.</span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>chloroplasts</b></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><img src=""Selection_201.png"" /><br /><br /><br />Each ___ is <b>a ring of nine groups, each one made of 3</b> <b>fused microtubules</b>.</span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>centriole</b></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>Animal/Plant Cell Structure</b><br /><b><br /></b><br /><img src=""pasteU8C2p2.png"" /><br /><br /><br />The ___ is the most obvious organelle in any <b>eukaryotic cell</b>. It is enclosed in a <b>double membrane</b> and communicates with the surrounding cytosol via numerous nuclear pores. <b>The DNA is similar in every cell of the body, but depending on the specific cell type, some genes may be turned on or off - that's why a liver cell is different from a muscle cell, and a muscle cell is different from a fat cell</b>. </span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>nucleus</b></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>Animal/Plant Cell Structure</b><br /><br /><img src=""pasteRjLFTR.png"" /><br /><br />The prominent structure in the nucleus is the ___. Here <b>ribosomes are produced</b>, before moving out of the nucleus and take positions on the rough endoplasmic reticulum where they are critical in protein synthesis.</span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>nucleolus</b></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>Cell Structure</b><br /><br />The ___ is the &quot;soup&quot; within which all the other cell organelles reside and where most of the cellular metabolism occurs.</span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>cytosol</b></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; "">On the molecular scale, members of three of these classes—carbohydrates, proteins, and nucleic acids —are huge and are therefore called ___</span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>macromolecules</b></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; "">The chemical behavior of an atom depends mostly on the number of electrons in its outermost shell. We call those outer electrons ___ electrons<br><br /></span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>valence</b></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; "">A ___ bond is the sharing of a pair of valence electrons by two atoms. <br /><br /><br /><img src=""pasteBEbAzn.png"" /> <img src=""paste1SBGbN.png"" /><br /></span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>covalent</b></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; "">This bonding capacity is called the atom’s ___ and usually equals the number of unpaired electrons required to complete the atom’s outermost (___) shell.</span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>valence</b></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; "">The attraction of a particular atom for the electrons of a covalent bond is called its ___. The more ___, the more strongly it pulls shared electrons toward itself.</span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>electronegativity</b></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; "">In a covalent bond between two atoms of the same element, the electrons are shared equally because the two atoms have the same electronegativity—the tug-of-war is at a standoff. Such a bond is called a ___ covalent bond</span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>nonpolar</b></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; "">When one atom is bonded to a more electronegative atom, the electrons of the bond are not shared equally. This type of bond is called a ___ covalent bond.<br /><br /><br /><img src=""pasteOZF8Bz.png"" /><br /><br /></span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>polar</b></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; "">A charged atom (or molecule) is called an ___<br /></span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>ion</b></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; "">When the charge is positive, the ion is specifically called a ___</span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>cation</b></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; "">An ___ is a negatively charged ion<br><br /></span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>anion</b></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; "">Because of their opposite charges, cations and anions attract each other; this attraction is called an ___ bond</span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>ionic</b></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; "">Compounds formed by ionic bonds are called <b>ionic compounds</b>, or ___<br /><br /><br /><img src=""paste_6zIXa.png"" /><br><br /><br><span style=""color:#ff0000;"">The formula for an ionic compound, such as NaCl, indicates only the ratio of elements in a crystal of the salt. “NaCl” by itself is not a molecule</span>.</span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>salts</b></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; "">The partial positive charge on a hydrogen atom that is covalently bonded to an electronegative atom allows the hydrogen to be attracted to a different electronegative atom nearby. This noncovalent attraction between a hydrogen and an electronegative atom is called a ___ ___. <b>In living cells, the electronegative partners are usually oxygen or nitrogen atoms.</b></span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>hydrogen bond</b><br /><br /><br /><img src=""pasteC4IZPj.png"" /></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; "">The ever-changing regions of positive and negative charge enable all atoms and molecules to stick to one another. These ___ ___ ___ ___ are individually weak and occur only when atoms and molecules are very close together. <br /><br /></span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>van der Waals interactions (forces)</b></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; "">The compounds called ___ are grouped together because they share one important trait - being <b>nonionic</b> and <b>nonpolar (= unable to form hydrogen bonds)</b> they mix poorly, if at all, with water and seem to repel it (<b>hydrophobic). </b><br><span style="" font-weight:600;""><br /></span><br>They are<b> </b>made up primarily of <b>carbon, hydrogen and oxygen</b> in long <b>hydrocarbon chains</b> or in multiple, complex <b>ring structures</b>.<br><br /><br>In an organism, lipids are a <b>source of stored energy, serve to insulate the body and are found inside ALL different cell types</b> (component of the membranes).<br><br /><b><br /></b><br /><img src=""pastebkTDLh.png"" /><br /><img src=""pasteyXvBk1.png"" /><b><br /></b></span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>lipids</b></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; "">Enzymatic proteins regulate metabolism by acting as ___, chemical agents that selectively speed up chemical reactions without being consumed by the reaction.<br><br /></span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>catalysts</b></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; "">The term ___ in general is used to describe an object that is not superposable on its mirror image. Human hands are perhaps the most universally recognized example of chirality.<br><br /><br><img src=""pasted2K1Sa.png"" /></span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>chirality</b></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>Consider the following carbohydrate and answer the questions</b><br /><b><br /></b><br /><img src=""pasten9dZU_.png"" /><br /><b><br /></b><br /><b>a) Name each bond or interaction that is circled in the schematic above. Explain why you selected these options. Choose from polar covalent, nonpolar covalent, ionic, hydrophobic, van der Waals.</b><br /><b><br /></b><br /><b>b) Would you expect this polymer to be soluble in an aqueous environment? Explain your answer.</b><br /><b><br /></b><br /><b>c) What type of bonds or interactions can occur between two such polymers? Choose from: covalent, hydrogen, hydrophobic, ionic, van der Waals. Explain your answer.</b></span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; "">a) • Bond #1 (C-C): Non-polar covalent because<b> carbon always forms covalent bonds in biological systems</b> and <b>both carbon atoms have the same electronegativity</b> making the bond non-polar<br /> <br />• Bond #2 (C-OH): Polar covalent because <b>carbon and oxygen have different electronegativities</b>. Oxygen is much more electronegative than carbon and pulls the electrons more towards itself making the bond polar.<br /><br /><br />b) Yes, because a polar molecule (see above) is solube in another polar one as water (through hydrogen bonding)<br /><br /><br />c) Hydrogen bonds can occur between the two polymers. The <b>exposed OH groups allow for easy hydrogen bonding</b> between molecules. There are <b>no charged groups so ionic bonds cannot occur and</b> <b>covalent bonds cannot occur without an enzyme or catalys</b></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>Why is sugar soluble in water and fat ain't?</b></span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; "">Sugar is polar - just like water - fat ain't.</span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; "">Each ___ ___ consists of a hydrocarbon chain with a carboxyl group at one end.<br /><br /><br /><img src=""pastednfj3l.png"" /></span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>fatty acid</b></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; "">The ___ molecule has three hydroxyl groups, each able to interact with the carboxyl group of a fatty acid.<br /><br /><br /><img src=""pasteC9l6uL.png"" /></span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>glycerol</b></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>Protists, fungi, animals, and plants</b> all consist of ___ cells.</span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>eukaryotic</b></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; "">___ (or ___ or ___) molecules are made up of four parts:<br /><b><br /><br />- a molecule of glycerol<br />- three molecules of fatty acids </b>(alike, as in tristearin, or different)<br /><b><br /></b><br /><b>They may contain as few as 4 carbon atoms or as many as 24</b>. Because fatty acids are synthesized from fragments containing two carbon atoms, the number of carbon atoms in the chain is almost always an even number.<br /><br /><br /><img src=""pastelMfaDS.png"" /> <img src=""pastef45YOo.png"" /></span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>fat (triacylglycerol or triglyceride)</b></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; "">When a cell is dividing, the nuclear ___ <b>(DNA and surrounding protein)</b> condenses into <b>chromosomes</b> that are easily seen by microscopy.</span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>chromatin</b></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; "">Plant fats tend to be ____ meaning their fatty acids <b>have one or more</b> <b>double bonds</b> between their carbon atoms and <b>could hold more hydrogen atoms than they do</b>.<br /><br />On the contrary, animal fats tend to be ___<br /><br /><br /><br /></span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>unsaturated / saturated</b><br /><b><br /></b><br /><img src=""paste2c_AU9.png"" /> <img src=""pasteazN1lr.png"" /></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; "">In <b>hydrogenation</b>, plant oils are <b>exposed to hydrogen at a high temperature and in the presence of a catalyst</b>. Two things result:<br /><br />&nbsp;&nbsp;&nbsp;<b> some double bonds are converted into single bonds.<br />&nbsp;&nbsp;&nbsp;&nbsp;other double bonds are converted from ___ to ___ configuration.<br /></b><br />Both these effects straighten out the molecules so they can lie closer together and <b>become solid</b> rather than liquid.</span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>cis / trans<br /></b><br /><img src=""pasteVWOvdR.png"" /></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; "">___ are fat derivatives in which one fatty acid has been replaced by a <b>phosphate group</b> and <b>one of several nitrogen-containing molecules</b>.<br /><br /><br /><img src=""Selection_082.png"" /></span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>phospholipids</b><br /><b><br /></b><br />[sound:phospolipid.flv]</span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; "">___ are common sugars share the same molecular formula:<b> </b><br /><br /><img src=""pasteIQ8dVe.png"" /></span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>monosaccharides</b></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>Disaccharides</b><br /><br /><br />&nbsp;&nbsp;&nbsp;___ common table sugar = glucose + fructose<br />&nbsp;&nbsp;&nbsp;___ major sugar in milk = glucose + galactose<br />&nbsp;&nbsp;&nbsp;___ product of starch digestion = glucose + glucose</span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>sucrose</b><br /><b><br /></b><br /><b>lactose</b><br /><b><br /></b><br /><b>maltose</b></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; "">___ are <b>polymers (polysaccharides) of glucose </b>produced by <b>plants</b> for <b>glucose storage</b>. <br /><br /><br /><img src=""pastedrkZhI.png"" />&nbsp;&nbsp;</span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>starches</b></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>Storage Polysaccharides - Animals</b><br /><br /><br /><img src=""paste3RHzvx.png"" /><br /><br /><br />Animals store excess glucose by polymerizing it to form ___. The structure is <b>similar to that of amylopectin.</b><br /><br />The <b>liver and the skeletal muscles</b> are major depots.</span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>glycogen</b><br /><br /><img src=""paste1fY3Ip.png"" /></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>Structural Polysaccharides - Plants</b><br /><br />___<br /><br /><img src=""paste1c26_P.png"" /><br /><br />It is the<b> major structural material of </b>which<b> plants</b> are made. Main molecule in <b>wood, cotton, paper.</b><br /><br />Like starch, it is a <b>polysaccharide with glucose as its monomer </b>but there are <b>no side chains</b> as there are in starch. </span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>cellulose</b><br /><b><br /></b><br /><img src=""paste9jsIk4.png"" /></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b> ___'s ratio</b><br /><br /><img src=""pasteSZ0QzK.png"" /><br /><br />In the DNA of any given species, the ratio of <b>adenine / thymine </b>is equal, as is the ratio of <b>adenine / thymine.</b></span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>Chargaff</b><br /><b><br /></b><br />[sound:DNAi_chargaff_ratio-sm.mov]</span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><br /><img src=""Selection_268.png"" /><br /></span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>Phospholipid<br /></b><br />They are found as the major <b>component in the cell membrane</b> and form a a permeability barrier, <b>keeping polar molecules on the outside</b>.<br /><br /><br /><img src=""pasteGu3y0q.png"" /> (The vescicle is a liposome)<br /><br />The polar end with the phosphorous and oxygen is hydrophilic and associates with the aqueous environment. The non-polar end composed of hydrocarbons is very hydrophobic and to excludes water.</span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>Which of the following statements is true for phospholipid molecules?</b><br /><br />a.&nbsp;&nbsp;&nbsp;&nbsp;The polar end of phospholipids would contain carbon and phosphorous and oxygen.<br /><br />b.&nbsp;&nbsp;&nbsp;&nbsp;The non-polar end of phospholipids would contain almost exclusively carbon and hydrogen.<br /><br />c.&nbsp;&nbsp;&nbsp;&nbsp;The polar end of phospholipids would form hydrogen bonds with water.<br /><br />d.&nbsp;&nbsp;&nbsp;&nbsp;The non-polar end of phospholipids associate with the cytoplasm of the cell.</span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>a, b, c</b></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>Which of the following statements is true for carbohydrate molecules?</b><br /><br /><br />a)&nbsp;&nbsp;&nbsp;&nbsp;The general structure can abbreviated as <img src=""pasteLiZvF0.png"" /><br />b)&nbsp;&nbsp;&nbsp;&nbsp;A disaccharide can be formed by a condensation reaction between two glucose molecules.<br />c)&nbsp;&nbsp;&nbsp;&nbsp;Carbohydrates can be used as an energy source for cells.<br />d)&nbsp;&nbsp;&nbsp;&nbsp;Carbohydrates can be used as a structural molecule.</span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>a, b, c, d</b></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>Which of the following type of bond or interaction joins monomers together to form biological polymers (as the macromolecules)?</b><br /><br /><br />&nbsp;&nbsp;&nbsp;&nbsp;Covalent Bond<br />&nbsp;&nbsp;&nbsp;&nbsp;Ionic bond<br />&nbsp;&nbsp;&nbsp;&nbsp;Hydrophobic interactions<br />&nbsp;&nbsp;&nbsp;&nbsp;van der Waals forces<br /><br /></span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>Covalent Bond</b></span></span>"
